Ano Letivo;Nome;Pedra;INDE;Nº Av;IAA;IEG;IPS;IDA;IPV;IAN;IPP
2022;Aluno-156;Ametista;7,4;4;10;8,3;9,4;4,4;7,8;5;8,6
2022;Aluno-153;Ametista;7,5;4;7,9;8,2;5;6,6;7,7;10;7,1
2023;Aluno-107;Ágata;6,8;4;0;8,5;5;7;7,6;10;7,3
2023;Aluno-509;Ametista;7,6;3;8,5;8,1;2,5;8,6;8,8;5;9
2023;Aluno-32;Ágata;6,7;4;0;8,2;3,8;7,9;6,9;10;7,4
2022;Aluno-79;Ágata;6,8;4;5,4;6,3;5,6;8,9;7,3;5;7
2023;Aluno-167;Ametista;7,8;4;8,8;9,9;5;7,9;7,8;5;8
2022;Aluno-52;Ametista;7,9;3;9,6;8,9;7,5;6,2;7,5;10;6,7
2023;Aluno-168;Ágata;6,5;4;0;9,6;6,9;4,7;6,4;10;6,6
2023;Aluno-94;Ametista;7,3;4;7,5;9,6;2,5;7,2;7,8;5;8,8
2022;Aluno-130;Quartzo;5,6;4;8,3;4,7;5;4,1;6,5;5;7,1
2023;Aluno-63;Topázio;8,1;4;6,7;9;6,9;8,7;9;5;8,8
2022;Aluno-126;Ágata;6,3;4;7,1;5,8;7,5;4,4;7,4;5;8,2
2023;Aluno-496;Ágata;6,6;3;0;7,1;5;8,3;8,7;5;7,9
2022;Aluno-545;Ágata;6,7;2;9,5;6,6;7,5;5,5;7,5;5;5,8
2023;Aluno-175;Ágata;6,6;4;8,8;9,2;2,5;4,8;7,1;5;7,2
2022;Aluno-63;Topázio;8,3;3;8,3;9,1;8,8;8,7;9,4;5;6,5
2023;Aluno-153;Ametista;7,3;4;9,2;7,4;2,5;6,4;7,7;10;8,1
2022;Aluno-595;Quartzo;5,2;3;8,5;5,5;7,5;1;6;5;6
2022;Aluno-41;Quartzo;5,6;3;9,2;6,1;5;5,6;4,4;5;4,6
2022;Aluno-164;Ágata;6,8;4;8,3;7,3;5,6;6,5;7,2;5;7,1
2023;Aluno-157;Ametista;7,9;4;7,1;9,9;2,5;6,8;8,6;10;8,6
2022;Aluno-172;Topázio;8,7;4;9,2;8,9;9,4;7,3;8,9;10;8,2
2022;Aluno-509;Ametista;7,8;3;9;8,2;7,5;9,2;7,8;5;6,1
2022;Aluno-32;Ametista;7,4;4;8,8;5,2;8,8;6,1;7,9;10;8
2022;Aluno-94;Topázio;8,9;4;8,3;9,6;8,1;7,7;9,6;10;8,8
2022;Aluno-84;Ágata;6,7;4;7,1;8,8;5;5,8;6,8;5;7,1
2022;Aluno-170;Ágata;7;4;8,3;9,2;5,6;4,9;5,8;10;6,3
2022;Aluno-69;Quartzo;5,7;4;8,3;6,1;7,5;2,5;6,2;5;6,6
2022;Aluno-180;Topázio;8,4;4;9,2;8,3;6,3;8,1;8,6;10;8,5
2022;Aluno-556;Ametista;7,2;2;9;8,8;5;6,4;8,2;5;6,2
2022;Aluno-169;Quartzo;5,2;4;7,5;5,1;6,3;3,2;4,8;5;7
2022;Aluno-8;Quartzo;4,8;4;7,1;4,6;6,3;1,6;6,3;5;4,6
2022;Aluno-168;Ágata;6,9;4;7,9;8,3;6,3;5,9;7,1;5;7,2
2023;Aluno-78;Ágata;6,4;4;0;7,7;6,3;6,7;8;5;8,3
2022;Aluno-167;Ametista;7,8;4;9,2;9,7;5,6;7,9;7,8;5;7,4
2022;Aluno-498;Ametista;7,7;3;8,5;8,8;7,5;8,8;7,6;5;5,6
2023;Aluno-52;Ametista;8;4;10;9,8;2,5;6,4;8,3;10;8,1
2023;Aluno-172;Ágata;6,4;0;0;8,2;3,8;7,3;7,8;10;7,7
2022;Aluno-568;Ametista;7,3;3;8;8,6;6,9;8,3;7,9;2,5;6
2022;Aluno-176;Topázio;8,4;4;9,6;9,1;5,6;6,9;9,1;10;8,6
2022;Aluno-386;Ágata;6,1;3;10;5,9;5,6;4;7,2;5;6,2
2022;Aluno-570;Quartzo;5,7;3;9;7;7,5;1,3;6,8;5;5,3
2022;Aluno-406;Ametista;7,5;3;9,5;9,5;7,5;6,6;7,3;5;6,2
2023;Aluno-420;Ametista;7,4;4;8,3;9,3;2,5;5,3;8;10;7,7
2022;Aluno-581;Ágata;6,5;3;7,5;8,9;7,5;5;5,9;5;5,4
2022;Aluno-402;Quartzo;5,3;3;9;3,7;5;3;7,2;5;6,2
